n11,n47,293
n47,n59,36
n47,n02,13
n11,n59,187
n11,n02,24
n02,n59,2
n08,n39,126
n11,n29,150
n32,n18,285
n08,n23,388
n11,n60,43
n08,n18,1341
n32,n21,48
n26,n08,205
n11,n40,106
n08,n14,147
n14,n09,16
n14,n59,22
n11,n14,142
n68,n14,10
n18,n14,224
n08,n09,100
n08,n59,155
n08,n11,1006
n68,n08,78
n59,n09,30
n11,n09,110
n68,n09,7
n18,n09,169
n68,n59,7
n18,n59,260
n68,n11,51
n18,n11,1406
n68,n18,65
n08,n60,49
n75,n60,8
n26,n60,11
n18,n60,62
n08,n75,149
n26,n75,145
n75,n18,162
n26,n18,212
n37,n36,125
n34,n21,25
n03,n59,25
n08,n03,136
n12,n59,138
n08,n12,718
n12,n57,45
n12,n14,148
n08,n57,73
n57,n14,15
n23,n55,8
n08,n55,26
n03,n55,4
n39,n55,5
n50,n55,10
n16,n55,6
n11,n55,22
n04,n55,16
n05,n55,4
n12,n55,18
n18,n55,35
n23,n03,78
n23,n39,95
n23,n50,233
n23,n16,56
n23,n11,379
n04,n23,446
n23,n05,14
n23,n12,257
n23,n18,454
n08,n50,323
n08,n16,114
n04,n08,575
n08,n05,48
n03,n39,41
n50,n03,123
n03,n16,9
n11,n03,122
n04,n03,147
n03,n05,8
n12,n03,73
n18,n03,145
n50,n39,90
n39,n16,18
n11,n39,105
n04,n39,131
n39,n05,2
n12,n39,71
n18,n39,140
n50,n16,44
n50,n11,302
n04,n50,378
n50,n05,10
n50,n12,224
n18,n50,374
n11,n16,96
n04,n16,93
n16,n05,7
n12,n16,66
n18,n16,112
n04,n11,560
n11,n05,52
n11,n12,644
n04,n05,18
n04,n12,366
n04,n18,663
n12,n05,36
n18,n05,62
n18,n12,960
n26,n09,15
n23,n09,39
n52,n62,10
n21,n52,10
n21,n62,5
n32,n45,98
n08,n32,286
n32,n47,211
n32,n50,259
n32,n12,140
n08,n45,232
n47,n45,128
n50,n45,152
n12,n45,145
n18,n45,245
n08,n47,327
n50,n47,274
n12,n47,204
n18,n47,354
n63,n77,4
n14,n63,4
n50,n63,46
n57,n63,8
n04,n63,48
n18,n63,61
n14,n77,3
n50,n77,21
n57,n77,11
n04,n77,25
n18,n77,25
n50,n14,45
n04,n14,78
n50,n57,48
n04,n57,60
n18,n57,65
n68,n04,56
n37,n23,303
n37,n08,332
n37,n18,383
n37,n50,216
n37,n29,100
n37,n11,324
n37,n12,194
n50,n29,87
n12,n29,75
n18,n29,184
n32,n02,6
n23,n32,195
n32,n09,16
n32,n75,38
n32,n53,31
n32,n34,52
n32,n59,32
n32,n11,235
n32,n24,20
n23,n02,7
n02,n09,3
n75,n02,8
n53,n02,10
n34,n02,4
n24,n02,1
n12,n02,22
n23,n75,56
n23,n53,55
n23,n34,68
n23,n59,51
n23,n24,35
n75,n09,9
n53,n09,22
n34,n09,21
n24,n09,7
n12,n09,56
n75,n53,13
n75,n34,51
n75,n59,13
n75,n11,116
n75,n24,20
n75,n12,117
n34,n53,12
n53,n59,41
n11,n53,148
n24,n53,5
n12,n53,108
n34,n59,23
n11,n34,144
n24,n34,16
n12,n34,126
n24,n59,7
n11,n24,50
n12,n24,34
n37,n55,11
n14,n55,5
n36,n55,9
n34,n55,8
n37,n14,42
n37,n34,41
n36,n14,26
n34,n14,24
n36,n34,48
n36,n12,150
n23,n45,173
n36,n23,128
n23,n29,90
n37,n45,190
n37,n04,558
n37,n24,28
n36,n45,108
n29,n45,83
n11,n45,210
n04,n45,292
n24,n45,24
n36,n08,237
n08,n29,166
n08,n24,44
n36,n29,62
n36,n11,190
n36,n04,169
n36,n24,29
n36,n18,267
n04,n29,137
n24,n29,11
n04,n24,45
n18,n24,61
n04,n32,312
n75,n47,60
n04,n75,82
n34,n47,69
n04,n47,360
n04,n34,95
n12,n15,52
n08,n28,43
n28,n34,14
n11,n28,26
n08,n34,172
n08,n46,30
n34,n46,4
n11,n46,21
n32,n39,70
n68,n32,36
n39,n09,8
n50,n09,25
n04,n09,51
n34,n39,15
n68,n39,12
n50,n34,61
n68,n34,15
n18,n34,201
n68,n50,36
n39,n59,23
n05,n53,14
n23,n47,251
n03,n47,98
n39,n62,1
n47,n62,6
n12,n62,10
n18,n62,21
n47,n39,80
n36,n21,53
